day,topic_id,tweets_total,tweets_lv_ru_en,tweets_lv,tweets_ru,tweets_en,users_lv,users_ru,users_en
2017-10-18 00:00:00,LV001,39,39,0.92,0.08,0.00,0.90,0.08,0.02
2017-10-19 00:00:00,LV001,47,47,0.85,0.13,0.02,0.85,0.12,0.03
2017-10-20 00:00:00,LV001,36,36,0.89,0.11,0.00,0.87,0.12,0.01
2017-10-21 00:00:00,LV001,19,19,0.63,0.32,0.05,0.61,0.28,0.11
2017-10-22 00:00:00,LV001,19,17,0.88,0.12,0.00,0.82,0.17,0.01
2017-10-23 00:00:00,LV001,81,81,0.86,0.14,0.00,0.86,0.12,0.03
2017-10-24 00:00:00,LV001,53,53,0.94,0.06,0.00,0.92,0.06,0.02
2017-10-25 00:00:00,LV001,215,213,0.84,0.13,0.04,0.80,0.14,0.06
2017-10-26 00:00:00,LV001,129,127,0.93,0.03,0.04,0.89,0.06,0.05
2017-10-27 00:00:00,LV001,42,42,1.00,0.00,0.00,0.97,0.01,0.02
2017-10-28 00:00:00,LV001,40,40,0.92,0.05,0.02,0.90,0.05,0.05
2017-10-29 00:00:00,LV001,20,20,0.95,0.05,0.00,0.93,0.05,0.02
2017-10-30 00:00:00,LV001,48,48,1.00,0.00,0.00,0.99,0.00,0.01
2017-10-31 00:00:00,LV001,53,53,0.94,0.06,0.00,0.93,0.06,0.02
2017-11-01 00:00:00,LV001,63,63,0.98,0.02,0.00,0.97,0.02,0.01
2017-11-02 00:00:00,LV001,20,20,1.00,0.00,0.00,0.97,0.01,0.02
2017-11-03 00:00:00,LV001,5,5,1.00,0.00,0.00,1.00,0.00,0.00
2017-11-04 00:00:00,LV001,27,27,0.89,0.11,0.00,0.87,0.11,0.03
2017-11-05 00:00:00,LV001,12,12,0.67,0.33,0.00,0.66,0.33,0.01
2017-11-06 00:00:00,LV001,16,16,1.00,0.00,0.00,0.99,0.00,0.01
2017-11-07 00:00:00,LV001,32,32,0.94,0.06,0.00,0.93,0.06,0.01
2017-11-08 00:00:00,LV001,15,15,1.00,0.00,0.00,0.97,0.01,0.02
2017-11-09 00:00:00,LV001,18,18,0.89,0.11,0.00,0.86,0.13,0.01
2017-11-10 00:00:00,LV001,12,12,0.92,0.08,0.00,0.91,0.08,0.00
2017-11-11 00:00:00,LV001,23,23,0.78,0.22,0.00,0.76,0.23,0.01
2017-11-12 00:00:00,LV001,23,23,0.87,0.13,0.00,0.79,0.20,0.01
2017-11-13 00:00:00,LV001,34,34,0.97,0.03,0.00,0.96,0.03,0.01
2017-11-14 00:00:00,LV001,52,52,0.92,0.00,0.08,0.95,0.01,0.03
2017-11-15 00:00:00,LV001,26,26,1.00,0.00,0.00,0.98,0.01,0.01
2017-11-16 00:00:00,LV001,45,45,0.98,0.02,0.00,0.94,0.03,0.03
2017-11-17 00:00:00,LV001,23,22,0.82,0.18,0.00,0.81,0.17,0.02
2017-11-18 00:00:00,LV001,18,18,0.50,0.17,0.33,0.82,0.16,0.02
2017-11-19 00:00:00,LV001,24,24,0.92,0.08,0.00,0.91,0.08,0.01
2017-11-20 00:00:00,LV001,41,41,0.85,0.15,0.00,0.83,0.16,0.01
2017-11-21 00:00:00,LV001,34,34,0.85,0.15,0.00,0.82,0.17,0.01
2017-11-22 00:00:00,LV001,44,44,0.86,0.11,0.02,0.85,0.11,0.03
2017-11-23 00:00:00,LV001,35,35,0.80,0.14,0.06,0.79,0.15,0.06
2017-11-24 00:00:00,LV001,18,18,0.67,0.17,0.17,0.72,0.18,0.10
2017-11-25 00:00:00,LV001,11,11,0.91,0.09,0.00,0.90,0.09,0.01
2017-11-26 00:00:00,LV001,6,6,1.00,0.00,0.00,1.00,0.00,0.00
2017-11-27 00:00:00,LV001,38,38,0.92,0.08,0.00,0.91,0.08,0.02
2017-11-28 00:00:00,LV001,57,57,0.89,0.05,0.05,0.86,0.07,0.07
2017-11-29 00:00:00,LV001,71,71,0.96,0.01,0.03,0.95,0.02,0.04
2017-11-30 00:00:00,LV001,148,147,0.93,0.05,0.02,0.91,0.06,0.03
2017-12-01 00:00:00,LV001,85,85,0.84,0.11,0.06,0.83,0.11,0.07
2017-12-02 00:00:00,LV001,31,31,0.81,0.16,0.03,0.82,0.16,0.02
2017-12-03 00:00:00,LV001,18,18,0.83,0.17,0.00,0.83,0.17,0.00
2017-12-04 00:00:00,LV001,62,62,0.81,0.16,0.03,0.79,0.16,0.05
2017-12-05 00:00:00,LV001,67,67,0.91,0.09,0.00,0.90,0.09,0.01
2017-12-06 00:00:00,LV001,48,48,0.98,0.02,0.00,0.96,0.03,0.01
2017-12-07 00:00:00,LV001,30,28,0.86,0.07,0.07,0.78,0.13,0.08
2017-12-08 00:00:00,LV001,36,36,0.92,0.06,0.03,0.94,0.06,0.01
2017-12-09 00:00:00,LV001,32,32,0.91,0.09,0.00,0.90,0.09,0.01
2017-12-10 00:00:00,LV001,33,33,0.76,0.15,0.09,0.81,0.14,0.05
2017-12-11 00:00:00,LV001,64,63,0.92,0.06,0.02,0.91,0.07,0.03
2017-12-12 00:00:00,LV001,22,19,0.95,0.00,0.05,0.75,0.17,0.08
2017-12-13 00:00:00,LV001,55,54,0.91,0.09,0.00,0.90,0.10,0.01
2017-12-14 00:00:00,LV001,57,56,0.89,0.11,0.00,0.87,0.11,0.02
2017-12-15 00:00:00,LV001,45,45,0.91,0.04,0.04,0.90,0.04,0.05
2017-12-16 00:00:00,LV001,27,27,0.93,0.07,0.00,0.92,0.07,0.01
