topic_id,day,count
LV002,2017-09-04 00:00:00,65
LV002,2017-09-05 00:00:00,15
LV002,2017-09-06 00:00:00,92
LV002,2017-09-07 00:00:00,63
LV002,2017-09-08 00:00:00,95
LV002,2017-09-09 00:00:00,31
LV002,2017-09-10 00:00:00,14
LV002,2017-09-11 00:00:00,28
LV002,2017-09-12 00:00:00,107
LV002,2017-09-13 00:00:00,74
LV002,2017-09-14 00:00:00,103
LV002,2017-09-15 00:00:00,25
LV002,2017-09-16 00:00:00,136
LV002,2017-09-17 00:00:00,12
LV002,2017-09-18 00:00:00,110
LV002,2017-09-19 00:00:00,45
LV002,2017-09-20 00:00:00,136
LV002,2017-09-21 00:00:00,57
LV002,2017-09-22 00:00:00,39
LV002,2017-09-23 00:00:00,67
LV002,2017-09-24 00:00:00,34
LV002,2017-09-25 00:00:00,89
LV002,2017-09-26 00:00:00,70
LV002,2017-09-27 00:00:00,141
LV002,2017-09-28 00:00:00,97
LV002,2017-09-29 00:00:00,23
LV002,2017-09-30 00:00:00,55
LV002,2017-10-01 00:00:00,24
LV002,2017-10-02 00:00:00,58
LV002,2017-10-03 00:00:00,162
LV002,2017-10-04 00:00:00,74
LV002,2017-10-05 00:00:00,85
LV002,2017-10-06 00:00:00,39
LV002,2017-10-07 00:00:00,172
LV002,2017-10-08 00:00:00,45
LV002,2017-10-09 00:00:00,15
LV002,2017-10-10 00:00:00,26
LV002,2017-10-11 00:00:00,125
LV002,2017-10-12 00:00:00,28
LV002,2017-10-13 00:00:00,97
LV002,2017-10-14 00:00:00,84
LV002,2017-10-15 00:00:00,66
LV002,2017-10-16 00:00:00,43
LV002,2017-10-17 00:00:00,113
LV002,2017-10-18 00:00:00,40
LV002,2017-10-19 00:00:00,22
LV002,2017-10-20 00:00:00,59
LV002,2017-10-21 00:00:00,93
LV002,2017-10-22 00:00:00,24
LV002,2017-10-23 00:00:00,108
LV002,2017-10-24 00:00:00,49
LV002,2017-10-25 00:00:00,62
LV002,2017-10-26 00:00:00,90
LV002,2017-10-27 00:00:00,60
LV002,2017-10-28 00:00:00,86
LV002,2017-10-29 00:00:00,82
LV002,2017-10-30 00:00:00,75
LV002,2017-10-31 00:00:00,169
LV002,2017-11-01 00:00:00,94
LV002,2017-11-02 00:00:00,114
LV002,2017-11-03 00:00:00,73
LV002,2017-11-04 00:00:00,112
LV002,2017-11-05 00:00:00,12
LV002,2017-11-06 00:00:00,77
LV002,2017-11-07 00:00:00,75
LV002,2017-11-08 00:00:00,44
LV002,2017-11-09 00:00:00,155
LV002,2017-11-10 00:00:00,112
LV002,2017-11-11 00:00:00,100
LV002,2017-11-12 00:00:00,75
LV002,2017-11-13 00:00:00,46
LV002,2017-11-14 00:00:00,157
LV002,2017-11-15 00:00:00,84
LV002,2017-11-16 00:00:00,110
LV002,2017-11-17 00:00:00,59
LV002,2017-11-18 00:00:00,49
LV002,2017-11-19 00:00:00,183
LV002,2017-11-20 00:00:00,23
LV002,2017-11-21 00:00:00,48
LV002,2017-11-22 00:00:00,83
LV002,2017-11-23 00:00:00,67
LV002,2017-11-24 00:00:00,157
LV002,2017-11-25 00:00:00,50
LV002,2017-11-26 00:00:00,54
LV002,2017-11-27 00:00:00,60
LV002,2017-11-28 00:00:00,141
LV002,2017-11-29 00:00:00,68
LV002,2017-11-30 00:00:00,126
LV002,2017-12-01 00:00:00,62
LV002,2017-12-02 00:00:00,79
LV002,2017-12-03 00:00:00,174
LV002,2017-12-04 00:00:00,36
LV002,2017-12-05 00:00:00,109
LV002,2017-12-06 00:00:00,85
LV002,2017-12-07 00:00:00,25
LV002,2017-12-08 00:00:00,59
LV002,2017-12-09 00:00:00,137
LV002,2017-12-10 00:00:00,62
LV002,2017-12-11 00:00:00,198
LV002,2017-12-12 00:00:00,87
LV002,2017-12-13 00:00:00,70
LV002,2017-12-14 00:00:00,43
LV002,2017-12-15 00:00:00,36
LV002,2017-12-16 00:00:00,66
LV002,2017-12-17 00:00:00,40
LV002,2017-12-18 00:00:00,133
LV002,2017-12-19 00:00:00,48
LV002,2017-12-20 00:00:00,128
LV002,2017-12-21 00:00:00,53
LV002,2017-12-22 00:00:00,23
LV002,2017-12-23 00:00:00,15
LV002,2017-12-24 00:00:00,13
LV002,2017-12-25 00:00:00,20
LV002,2017-12-26 00:00:00,113
LV002,2017-12-27 00:00:00,85
LV002,2017-12-28 00:00:00,19
LV002,2017-12-29 00:00:00,59
LV002,2017-12-30 00:00:00,18
LV002,2017-12-31 00:00:00,14
LV002,2018-01-01 00:00:00,19
LV002,2018-01-02 00:00:00,20
LV002,2018-01-03 00:00:00,34
LV002,2018-01-04 00:00:00,100
LV002,2018-01-05 00:00:00,102
LV002,2018-01-06 00:00:00,100
LV002,2018-01-07 00:00:00,21
LV002,2018-01-08 00:00:00,152
LV002,2018-01-09 00:00:00,90
LV002,2018-01-10 00:00:00,95
LV002,2018-01-11 00:00:00,47
LV002,2018-01-12 00:00:00,43
LV002,2018-01-13 00:00:00,63
LV002,2018-01-14 00:00:00,27
LV002,2018-01-15 00:00:00,30
LV002,2018-01-16 00:00:00,28
LV002,2018-01-17 00:00:00,52
LV002,2018-01-18 00:00:00,101
LV002,2018-01-19 00:00:00,65
LV002,2018-01-20 00:00:00,133
LV002,2018-01-21 00:00:00,19
LV002,2018-01-22 00:00:00,117
LV002,2018-01-23 00:00:00,57
LV002,2018-01-24 00:00:00,129
LV002,2018-01-25 00:00:00,44
LV002,2018-01-26 00:00:00,117
LV002,2018-01-27 00:00:00,40
LV002,2018-01-28 00:00:00,61
LV002,2018-01-29 00:00:00,48
LV002,2018-01-30 00:00:00,47
LV002,2018-01-31 00:00:00,60
LV002,2018-02-01 00:00:00,57
LV002,2018-02-02 00:00:00,55
LV002,2018-02-03 00:00:00,64
LV002,2018-02-04 00:00:00,74
LV002,2018-02-05 00:00:00,51
LV002,2018-02-06 00:00:00,67
LV002,2018-02-07 00:00:00,22
LV002,2018-02-08 00:00:00,65
LV002,2018-02-09 00:00:00,55
LV002,2018-02-10 00:00:00,44
LV002,2018-02-11 00:00:00,34
LV002,2018-02-12 00:00:00,62
LV002,2018-02-13 00:00:00,36
LV002,2018-02-14 00:00:00,76
LV002,2018-02-15 00:00:00,148
