Screen name,Latvian,Russian,English,Total
vaivarei,229,,2,231
Girts,217,,9,226
PakistAnnie_,196,2,28,226
@@RADIO,218,,,218
vickyniclat,,186,32,218
JanisPolis,202,,10,212
kucuch,,208,4,212
pol1nkv,1,205,5,211
Ronalds_Pedans,,209,,209
StuulbsNeegeris,187,,21,208
ivankkati,,205,3,208
miculis,195,,12,207
@radioswh,205,,,205
kornatovsk,2,198,4,204
SkaidriteKr,203,,,203
inqclexa,,,199,199
koleegjis,186,,10,196
julijapisecka,,193,2,195
naservere,,193,2,195
@@CINEMA,188,,6,194
tolstovs1,192,,1,193
EvaHillen,7,,185,192
MHapanioneks,,192,,192
AngelinaBerzina,,191,,191
gavanEI,1,,190,191
@volejbolslv,186,,4,190
JANISRIEKSTINSH,185,2,2,189
@rustheatre_lv,188,,,188
@@CITY,187,,,187
@forumcinemaslv,184,,2,186
TheDinamo777,1,185,,186
TalsMelkis,184,,,184
FrostHoneyJuicy,,,183,183
Vinetav,180,,1,181
andrispp,176,,5,181
anelimsoika,,179,1,180
PTimrots,177,,2,179
adeniins,68,,111,179
@lhf_lv,178,,,178
Ljipa,177,,,177
AsinsDonori,176,,,176
Smumsi,,,176,176
alinafurs,1,173,1,175
@finmin,170,,3,173
kasparszellis,173,,,173
EdgarsBernans,168,,4,172
@@RETAIL,171,,,171
Folmes,,,169,169
VAKSJA_,,166,2,168
hippybitch_,,,168,168
sawuljka7,,163,5,168
Toews_82,,163,4,167
AnnaFoma,158,,8,166
EB__23,154,,11,165
@mansrimi,164,,,164
tmrshv,,164,,164
IMilovs,161,,1,162
Roberts_Epners,,,162,162
infurz,86,,76,162
abroadunderhood,,161,,161
Volx2U,155,,4,159
adri_iepur,,158,1,159
SlavaVK,145,1,11,157
FancyWriter,,155,,155
TechChill,6,1,147,154
evtihomirova,1,153,,154
kjuumanis,117,,36,153
IlgvarsImsa,140,,10,150
LERUNJK,,149,1,150
AndersStangl,,,149,149
okertanov,,145,4,149
armandsuks,148,,,148
